YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,KS,Kansas,30.6,,,Less than high school,,,,"(38.34774030000045, -98.20078122699965)",Less than high school,EDU,EDUHS
2011,2011,KY,Kentucky,34,,,Less than high school,,,,"(37.645970271000465, -84.77497104799966)",Less than high school,EDU,EDUHS
2011,2011,LA,Louisiana,36.3,,,Less than high school,,,,"(31.31266064400046, -92.44568007099969)",Less than high school,EDU,EDUHS
2011,2011,ME,Maine,32.2,,,Less than high school,,,,"(45.254228894000505, -68.98503133599962)",Less than high school,EDU,EDUHS
2011,2011,MD,Maryland,35.2,,,Less than high school,,,,"(39.29058096400047, -76.60926011099963)",Less than high school,EDU,EDUHS
2011,2011,MA,Massachusetts,31.1,,,Less than high school,,,,"(42.27687047000046, -72.08269067499964)",Less than high school,EDU,EDUHS
2011,2011,MI,Michigan,33.8,,,Less than high school,,,,"(44.6613195430005, -84.71439026999968)",Less than high school,EDU,EDUHS
2011,2011,MN,Minnesota,28.2,,,Less than high school,,,,"(46.35564873600049, -94.79420050299967)",Less than high school,EDU,EDUHS
2011,2011,MS,Mississippi,35.4,,,Less than high school,,,,"(32.745510099000455, -89.53803082499968)",Less than high school,EDU,EDUHS
2011,2011,MO,Missouri,33.8,,,Less than high school,,,,"(38.635790776000476, -92.56630005299968)",Less than high school,EDU,EDUHS
2011,2011,MT,Montana,23.5,,,Less than high school,,,,"(47.06652897200047, -109.42442064499971)",Less than high school,EDU,EDUHS
2011,2011,US,National,32.4,,,Less than high school,,,,,Less than high school,EDU,EDUHS
2011,2011,NE,Nebraska,28.1,,,Less than high school,,,,"(41.6410409880005, -99.36572062299967)",Less than high school,EDU,EDUHS
2011,2011,NV,Nevada,27.6,,,Less than high school,,,,"(39.493240390000494, -117.07184056399967)",Less than high school,EDU,EDUHS
2011,2011,NH,New Hampshire,28.4,,,Less than high school,,,,"(43.65595011300047, -71.50036091999965)",Less than high school,EDU,EDUHS
2011,2011,NJ,New Jersey,29.4,,,Less than high school,,,,"(40.13057004800049, -74.27369128799967)",Less than high school,EDU,EDUHS
2011,2011,NM,New Mexico,31.9,,,Less than high school,,,,"(34.52088095200048, -106.24058098499967)",Less than high school,EDU,EDUHS
2011,2011,NY,New York,27.5,,,Less than high school,,,,"(42.82700103200045, -75.54397042699964)",Less than high school,EDU,EDUHS
2011,2011,NC,North Carolina,31.9,,,Less than high school,,,,"(35.466220975000454, -79.15925046299964)",Less than high school,EDU,EDUHS
2011,2011,ND,North Dakota,25.1,,,Less than high school,,,,"(47.47531977900047, -100.11842104899966)",Less than high school,EDU,EDUHS
2011,2011,OH,Ohio,34.6,,,Less than high school,,,,"(40.06021014100048, -82.40426005599966)",Less than high school,EDU,EDUHS
2011,2011,OK,Oklahoma,31,,,Less than high school,,,,"(35.47203135600046, -97.52107021399968)",Less than high school,EDU,EDUHS
2011,2011,OR,Oregon,31.4,,,Less than high school,,,,"(44.56744942400047, -120.15503132599969)",Less than high school,EDU,EDUHS
2011,2011,PA,Pennsylvania,30.8,,,Less than high school,,,,"(40.79373015200048, -77.86070029399963)",Less than high school,EDU,EDUHS
2011,2011,RI,Rhode Island,28.7,,,Less than high school,,,,"(41.70828019300046, -71.52247031399963)",Less than high school,EDU,EDUHS
2011,2011,SC,South Carolina,32.7,,,Less than high school,,,,"(33.998821303000454, -81.04537120699968)",Less than high school,EDU,EDUHS
2011,2011,SD,South Dakota,30.7,,,Less than high school,,,,"(44.353130053000484, -100.3735306369997)",Less than high school,EDU,EDUHS
2011,2011,TN,Tennessee,34.1,,,Less than high school,,,,"(35.68094058000048, -85.77449091399967)",Less than high school,EDU,EDUHS
2011,2011,TX,Texas,33.6,,,Less than high school,,,,"(31.827240407000488, -99.42677020599967)",Less than high school,EDU,EDUHS
2011,2011,UT,Utah,31.2,,,Less than high school,,,,"(39.360700171000474, -111.58713063499971)",Less than high school,EDU,EDUHS
2011,2011,VT,Vermont,26.7,,,Less than high school,,,,"(43.62538123900049, -72.51764079099962)",Less than high school,EDU,EDUHS
